County/Sub County,Visual,,,Hearing ,,,Mobility,,,Cognition,,,Self Care,,,Communication,,
,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female
KENYA,"333,520","135,965","197,542","153,361","67,626","85,728","385,417","146,966","238,432","212,798","89,814","122,959","139,929","65,950","73,966","111,356","60,701","50,641"
Rural,"259,019","105,603","153,412","129,518","56,467","73,047","319,330","120,401","198,917","180,606","75,581","105,013","115,260","54,225","61,027","88,785","48,353","40,423"
Urban,"74,501","30,362","44,130","23,843","11,159","12,681","66,087","26,565","39,515","32,192","14,233","17,946","24,669","11,725","12,939","22,571","12,348","10,218"
MOMBASA,"5,600","2,338","3,262","2,116","1,019","1,097","5,202","2,235","2,967","2,693","1,245","1,447","2,201","1,092","1,109","2,211","1,223",988
CHANGAMWE,444,187,257,181,100,81,480,223,257,278,127,151,234,116,118,288,166,122
JOMVU,802,349,453,335,170,165,736,324,412,396,177,219,292,146,146,311,171,140
KISAUNI,"1,643",668,975,529,245,284,"1,219",516,703,690,314,375,477,244,233,512,270,242
LIKONI,836,334,502,359,174,185,727,306,421,440,204,236,337,166,171,385,204,181
MVITA,845,334,511,370,168,202,"1,188",466,722,493,223,270,483,219,264,358,202,156
NYALI,"1,030",466,564,342,162,180,852,400,452,396,200,196,378,201,177,357,210,147
KWALE,"3,623","1,673","1,950","2,328","1,087","1,241","4,744","2,091","2,653","2,657","1,191","1,466","2,304","1,150","1,154","2,062","1,135",927
KINANGO,387,181,206,260,131,129,489,212,277,277,114,163,233,109,124,236,125,111
LUNGA LUNGA,682,328,354,560,251,309,"1,008",467,541,599,275,324,556,278,278,487,271,216
MATUGA,717,327,390,479,211,268,"1,008",467,541,603,272,331,478,246,232,451,239,212
MSAMBWENI,942,423,519,476,228,248,"1,149",471,678,587,251,336,533,265,268,419,235,184
SAMBURU,895,414,481,553,266,287,"1,090",474,616,591,279,312,504,252,252,469,265,204
KILIFI,"6,353","2,686","3,667","3,569","1,520","2,049","7,746","3,316","4,430","4,075","1,823","2,252","3,647","1,752","1,895","3,274","1,735","1,539"
CHONYI,209,103,106,158,69,89,308,145,163,165,78,87,147,74,73,144,72,72
GANZE,624,283,341,437,181,256,915,395,520,478,215,263,419,190,229,342,173,169
KALOLENI,887,392,495,495,209,286,"1,113",471,642,548,216,332,512,242,270,484,233,251
KAUMA,95,53,42,83,41,42,145,84,61,64,34,30,58,35,23,65,42,23
KILIFI NORTH,916,335,581,442,177,265,889,353,536,495,221,274,402,203,199,370,202,168
KILIFI SOUTH,821,326,495,391,166,225,838,352,486,439,193,246,375,181,194,379,204,175
MAGARINI,898,423,475,552,242,310,"1,161",535,626,629,299,330,625,309,316,513,284,229
MALINDI,"1,393",578,815,732,320,412,"1,757",734,"1,023",927,413,514,844,397,447,726,398,328
RABAI,510,193,317,279,115,164,620,247,373,330,154,176,265,121,144,251,127,124
TANA RIVER,"1,341",651,690,860,366,494,"1,513",720,793,877,429,448,834,423,411,595,328,267
TANA DELTA,544,273,271,338,149,189,604,295,309,372,182,190,316,164,152,241,146,95
TANA NORTH,368,175,193,248,103,145,445,213,232,216,102,114,249,121,128,157,77,80
TANA RIVER,429,203,226,274,114,160,464,212,252,289,145,144,269,138,131,197,105,92
LAMU,866,418,448,395,185,210,931,384,547,622,278,344,427,210,217,330,180,150
LAMU EAST,152,78,74,98,44,54,208,78,130,150,65,85,90,42,48,48,28,20
LAMU WEST,714,340,374,297,141,156,723,306,417,472,213,259,337,168,169,282,152,130
TAITA/TAVETA,"2,809","1,175","1,634","1,332",560,772,"3,501","1,376","2,125","2,290",952,"1,336","1,556",744,812,"1,185",648,536
MWATATE,991,378,613,488,194,294,"1,190",443,747,779,301,478,471,212,259,361,188,172
TAITA,458,186,272,233,92,141,657,234,423,455,183,272,319,150,169,236,127,109
TAVETA,504,237,267,251,122,129,637,307,330,403,176,227,319,170,149,246,149,97
VOI,856,374,482,360,152,208,"1,017",392,625,653,292,359,447,212,235,342,184,158
GARISSA,"1,285",666,619,"1,289",676,613,"2,015","1,078",937,"1,682",944,737,"1,909","1,036",873,"1,033",571,462
BALAMBALA,6,5,1,4,2,2,22,17,5,28,20,7,31,26,5,5,3,2
DADAAB,281,160,121,304,144,160,534,282,252,419,221,198,550,285,265,270,139,131
FAFI,128,56,72,107,63,44,182,86,96,132,79,53,122,73,49,82,44,38
GARISSA,180,64,116,155,75,80,302,143,159,142,80,62,207,99,108,121,69,52
HULUGHO,387,249,138,379,233,146,480,313,167,510,339,171,520,341,179,239,161,78
IJARA,280,123,157,252,114,138,372,174,198,347,163,184,381,175,206,246,123,123
LAGDERA,23,9,14,88,45,43,123,63,60,104,42,62,98,37,61,70,32,38
WAJIR,830,447,383,"1,005",543,462,"1,629",877,752,"1,270",664,606,"1,392",751,641,760,422,338
BUNA,38,21,17,44,22,22,67,41,26,53,31,22,71,37,34,48,29,19
ELDAS,267,148,119,331,177,154,517,277,240,554,289,265,560,301,259,222,107,115
HABASWEIN,122,58,64,162,85,77,244,128,116,123,57,66,166,75,91,110,65,45
TARBAJ,34,15,19,28,11,17,50,20,30,49,29,20,55,32,23,29,18,11
