Region,Persons per Sq. Km
KENYA,82
MOMBASA,"5,495"
CHANGAMWE,"7,457"
CHANGAMWE,"7,457"
CHAANI,"10,033"
CHAANI,"10,033"
CHANGAMWE,"2,408"
CHANGAMWE,"11,006"
KHAMISI,"1,788"
KWA HOLA,"28,801"
KWA HOLA,"28,801"
PORT REITZ,"6,950"
PORT REITZ,"6,950"
JOMVU,"4,432"
JOMVU,"4,432"
MIKINDANI,"10,375"
BIRIKANI,"9,129"
KWA SHEE,"11,129"
MIRITINI,"3,296"
JOMVU KUU,"3,116"
MIRITINI,"3,668"
KISAUNI,"3,328"
BAMBURI,"1,682"
BAMBURI,"1,682"
BAMBURI,"4,113"
MAUNGUJA,205
MWAKIRUNGE,279
MWEMBE LEGEZA,"3,889"
SHANZU,"1,643"
KISAUNI,"11,878"
KISAUNI,"11,878"
JUNDA,"11,062"
MAGOGONI,"12,762"
LIKONI,"6,187"
LIKONI,"17,621"
LIKONI,"17,621"
BOFU,"18,099"
LIKONI,"19,955"
TIMBWANI,"17,133"
LONGO,"2,792"
MTONGWE,"1,424"
MTONGWE,"1,424"
SHIKAADABU,"6,765"
VIJIWENI,"6,091"
VYEMANI,"8,192"
MVITA,"10,543"
ISLAND,"10,543"
GANJONI,"3,953"
GANJONI,"3,953"
MAJENGO,"26,312"
MAJENGO,"26,312"
MWEMBE TAYARI,"14,488"
MWEMBE TAYARI,"14,488"
OLD TOWN,"22,214"
OLD TOWN,"22,214"
RAILWAY,"1,817"
RAILWAY,"1,817"
TONONOKA,"18,503"
TONONOKA,"17,131"
BONDENI,"21,427"
TUDOR,"14,545"
TUDOR,"14,545"
NYALI,"9,610"
FRERE TOWN,"13,072"
FRERE TOWN,"21,609"
FRERE TOWN,"21,842"
MLA LEO,"21,238"
KADZANDANI,"9,610"
MBUNGONI,"11,608"
MWATAMBA,"9,160"
KONGOWEA,"7,678"
KONGOWEA,"7,891"
KONGOWEA,"22,113"
MKOMANI,"4,683"
MAWENI,"7,389"
MAWENI,"9,081"
ZIWA LA NG'OMBE,"6,600"
KWALE,105
KINANGO,58
KINANGO,51
KINANGO,129
DUMBULE,102
KIBANDAONGO,92
KINANGO,269
PUMA,70
MAZOLA,70
VIGURUNGANI,27
BUSA,18
VIGURUNGANI,52
NDAVAYA,74
NDAVAYA,74
GULANZE,120
KIFYONZO,102
MWANDIMU,44
NDAVAYA,106
LUNGA LUNGA,72
LUNGA LUNGA,65
DZOMBO,204
MRIMA MALAMBA,204
KASEMENI,8
KASEMENI,5
PANGANI,68
KIKONENI,196
BUMBANI,196
LUNGA LUNGA,160
PERANI,178
SEGA,149
MWENA,149
MANDA,141
MWENA,155
MWERENI,44
BIDINIMOLE,40
KILIMANGODO,51
VANGA,214
JEGO,214
KIWEGU,147
VANGA,"1,073"
PONGWE KIKONENI,193
PONGWE KIDIMU,159
MAJORENI,151
MZIZIMA,166
SHIMONI,408
SHIMONI,392
WASINI/MKWIRO,474
MATUGA,188
KUBO,158
LUKORE,147
LUKORE,147
MAJIMBONI,107
BOYANI,118
KIPAMBANI,90
MAJIMBONI,104
MAKOBE,80
MSULWA,97
SHIMBA HILLS,179
MANGAWANI,151
MANGAWANI,151
MKONGANI,181
MKOMBA,230
MTSAMVIANI,145
TIRIBE,192
MWALUPHAMBA,194
KIZIBE,190
MLAFYENI,198
MWALUVANGA,101
MANYATTA,106
MWALUVANGA,95
MATUGA,350
GOLINI,364
GOLINI,364
MBUGUNI,135
MBUGUNI,135
NG'OMBENI,499
KITEJE,224
NG'OMBENI,679
PUNGU,717
TIWI,466
MKOYO,947
SIMKUMBE,334
TSIMBA,222
